연번,작가,부문,명제,제작년도,규격
1,박생광,한국화,십장생(학),1980,134.5x136
2,박생광,한국화,포도와 다람쥐,1978,63x96
3,문신,회화,뒷산과 하늘(언덕-구름B),1948,68x51
4,박생광,한국화,단청과 대들보,1977,54x80
5,문신,회화,두 여인,1974,액자포함 : 72×64.5 / 작품 : 51.8×44.7
6,강신석,회화,가오리,1972,44x37
7,초삼랑,회화,경상남도 조감도,1930,53x238
8,송혜수,회화,통영 앞 바다,1965,41x53
9,김영교,회화,도봉산,1984,43x52
10,이형섭,한국화,외금강산도,1980,59x40
11,이규옥,한국화,산수,1980,101x317.5
12,양달석,회화,목동,1970,43×65
13,류시원,회화,인물,1987,33x24
14,박윤성,회화,가족,1984,17x27
15,최운,회화,바다,1976,27.5x37
16,서상환,드로잉,무제,1971,54×39.5
17,서상환,회화,인물,1962,38x29
18,최운,회화,도원풍경,1984,36x52
19,이상갑,회화,원두막과 소,1990,24x34
20,오제봉,서예,무아,1980,99x186.5
21,황규백,판화,잔디밭,1978,37×32
22,최기원,드로잉,에스키스,1970,38x51.5
23,강신석,회화,물고기,1973,21x27.5
24,이영배,드로잉,마른감 뎃생,2002,35.5x40.5
25,안창홍,드로잉,성난 개,1988,27x19.5
26,김종식,회화,녹심,1964,17x25
27,김경,드로잉,명태,1960,21.5x13.5
28,전혁림,공예,호랑이 탈,1970,경:23 높이:10.5
29,한묵,드로잉,얼굴,1950,24x19.5
30,이성자,판화,다섯번의 파도1,1959,18x19
31,이만익,회화,여인,1989,18.2x23.3
32,김경,드로잉,소,1960,19x25
33,전혁림,회화,구성,1998,21x14
34,박생광,한국화,연하장,1969,21x14
35,송혜수,회화,누드,1975,26x22
36,장욱진,드로잉,인도화상,1988,29x30
37,이성자,판화,다섯번의 파도2,1959,17.5x19
38,안창홍,회화,들고양이,2001,32x41
39,이철수,판화,월하곡,1989,23.5x30.5
40,문신,드로잉,무제,1976,49.5x32
41,이우환,회화,조응,2001,38x51
42,최석운,회화,이발하는 사람,1991,90.5x73
43,전혁림,회화,학,1979,45x41
44,천재동,공예,탈,1971,23x26x19
45,천재동,공예,탈,1980,23x25x14
46,방정아,회화,급한 목욕,1994,145.5x97
47,김종식,회화,통영,1979,43x52
48,이석우,한국화,환월도,1977,244.5x114.5
49,고바야시,판화,군무,1999,111.5×138.3
50,고바야시,판화,군무,1994,105×75
51,이성자,판화,1월의 도시 74,1974,55x72
52,이성자,판화,무제,1975,63x48
53,이성자,판화,대척지로 가는 길,1980,44x58
54,조경옥,회화,풍경(주변이야기),1998,28x59
55,전혁림,회화,군조,1970,59x48
56,전혁림,회화,오리가 있는 정물,1970,39x52
57,전혁림,공예,직사각 과반,1983,29×36×h4
58,김형근,회화,맞은편 전경,1972,99.5×76
59,신종식,회화,지리산 가는 길,2001,52x72
60,박생광,한국화,부귀모란도,1983,132.5x37.5
61,박생광,한국화,한라산 일출봉,1974,64x82
62,박생광,한국화,꽃사슴,1974,64x125
63,이성자,회화,밭고랑에 메아리,1962,114x160
64,이우환,회화,With Winds,1990,228×182
65,전혁림,회화,호수,1994,180×226
66,곽인식,회화,Work 81-U,1981,152×107
67,남관,회화,"밤, 율동 I",1981,90x182
68,남관,회화,"밤, 율동 II",1982,90×182
69,문학진,회화,소녀와 악기,2002,130.5x130.5
70,도상봉,회화,폐허,1953,73x90
71,이성자,회화,샘물의 신비 II,1963,162.2x130.3
72,이응노,한국화,소,1950,37x56
73,채준,회화,성기,1989,100x80.3
74,채준,회화,성기B,1989,90.9x72.7
75,채준,회화,할머니에게,1992,80.3x65.5
76,채준,회화,안녕히,1997,90.9x72.7
77,채준,회화,한마음,1989,61×45.5
78,채준,회화,세월 43년,1988,72.7x60.6
79,채준,회화,희망,1988,91×73
80,채준,회화,참가하는데 의의는 없다.,1988,72.7x60.6
81,채준,회화,자원을 소중히,1991,72.7x60.6
82,채준,회화,무겁다,1999,91×60.7
83,채준,회화,위를 쳐다보지마,1990,90.9x65.1
84,채준,회화,할머니의 이야기,1997,130x130
85,채준,회화,누구냐,1989,72.7x60.6
86,채준,회화,백의 비극,1997,162×112
87,채준,회화,한바의 소녀,1999,90.9x72.7
88,채준,회화,그들,1991,116.5x172
89,채준,회화,그들은 변하지 않았다.,1991,90.9x72.9
90,채준,회화,물질문명,1988,72.7x60.6
91,채준,회화,풍작,1997,90.9x65.5
92,채준,회화,모략 A,1988,100x80.3
93,채준,회화,모략 C,1988,100x80.3
94,채준,회화,모략 B,1988,100x80.3
95,채준,회화,밀조할머니,1999,80.3x65.5
96,채준,회화,1+1=1,2002,100x65.5
97,채준,회화,Catastrophe,2002,100x80.3
98,채준,회화,표적(Target),2002,100x80.3
99,채준,회화,뒤,2002,130×162
100,채준,회화,우울,2002,53.3×65.2
101,채준,회화,여론,2002,90.9x65.5
102,채준,회화,두 사이,2002,100x80.3
103,채준,회화,침식,2002,53x41
104,채준,회화,출근,1997,90.9x72.7
105,채준,회화,분해,2002,53x45.7
106,채준,회화,불길한 예감 I,2003,97×130
107,채준,회화,나,2002,112×146
108,채준,회화,자신의 가운데,2002,65.5×53.3
109,채준,회화,길 위의 돌,2002,90.9x72.7
110,채준,회화,불길한 예감 II,1996,80.5×100
111,채준,회화,방랑생활,1982,56.8x38.4
112,채준,드로잉,무제,1985,20x13
