소장구분,소장품번호,세부번호,유물명,한자명칭,국적/시대,재질,용도,크기,출토지,지정구분,설명
국립1-부여-부여,1,0,銅鏡,청동거울,한국-백제,금속-동합금,주-생활용품-화장구,"지름 14.3,두께 1.3",전라북도-익산시-삼기면 연동리 태봉사,," 銅鏡으로 일부분이 파손되었으나 복원하였다. 圓紐는 半球形으로 양쪽에는 타원형의 구멍이 있다. 紐座는 無文이며, 內區보다 약간높다. 內區에는 龍과 유사한 神獸를 부조하고 여러개의 小乳를 배치하였으며 그 주위로 雲文과 유사한 기하학적인 무늬를 두었다. 內區와 外區는 1條의 圓文으로 구획하였는데, 外區는 다시 1條의 圓文으로 구획하였다. 외구의 바깥 원권에는 집선문을 시문하였으며 안쪽 圓圈에는 ＂.....象 民息胡羌途회天下復風雨...＂라는 銘文이 새겨져있다. 넓고 높은 周緣部는 모두 네부분으로 구분하였는데, 가장 안쪽원권과 세번째 원권에는 조밀한 거치문을 시문하였고, 두번째 원권에는 2조의 산형문을 시문하였으며, 가장 바깥쪽 원권은 무문이다."
국립1-부여-부여,7,0,金銅製耳環,금동제귀걸이,한국-백제,금속-금동,의-장신구-신체장식,지름 2.3,충청남도-부여군-부여읍 능산리,,"  金銅製耳飾으로, 금도금이 많이 벗겨지고 일부 부식이 일어난 모습이 보인다. 평·단면 원형으로, 하나의 봉으로 구부려 제작한 것으로 環端부분이 약간 떨어져 있다. 垂下飾과 中間飾이 원래 있었는데 없어졌는지 아니면 단독 素環飾이였는지는 정확히 알수가 없다."
국립1-부여-부여,14,0,鍍金銅塔身,금동탑신,한국-백제,금속-동합금,종교신앙-불교-예배,"현재높이 5,너비 12.8",충청남도-부여군-부여읍 동남리 錦城山 폐사지,," 여러층을 이루었을 청동탑의 부분으로 현재는 한층만이 남아있다. 方形으로 구성된 지붕 상부에는 欄干이 둘러져 있는데 한면의 난간이 일부 파손되어 있다. 지붕면은 기와골까지 세밀히 표현하였다. 지붕의 내림마루 부분에는 2개의 장식 기와가 돌촐되어 있고 마루끝단에는 중앙에 小孔을 뚫은 기와가 장식되었다. 처마밑에는 부연과 서까래가 표현되었고 그 아리는 각 기둥마다 共包를 설치하였다. 건물은 정면·측면 모두 三間式으로 透孔장식된 격자형의 창이 2칸, 方形의 문 1칸을 각각 뚫어 놓았다. 古式의 木造建物 구조를 따르고 있다는 점에서 백제건축연구의 중요한 자료로 평가된다."
국립1-부여-부여,16,0,金銅製立佛,금동보살입상,한국-백제,금속-금동,종교신앙-불교-예배,현재높이 12,충청남도-부여군-부여읍 가탑리,," 1913년 부여읍 가탑리 옛 절터에서 出土된 것인데 현재 머리부분과 양쪽 손 그리고 다리부분이 파손되었으며 원래 9개의 단편으로 조각난 것을 불완전하게 접합한 것으로 주물은 通鑄式이다. 法衣는 通肩으로 가슴에 두터운 옷깃이 뚜렷하고 左肩으로 넘어가는 옷자락은 부드럽게 흘러내리면서 동시에 좌측 상단으로 치우치고 있다. 그리고 그 밑으로 裙衣가 내려져 있으며 발목에 이르러서는 양옆으로 날개처럼 전개되었다. 手印은 오른쪽 팔부분이 위로 올려지고 왼쪽 팔은 밑으로 내려졌었던 것으로 보아 古式의 수인인 施無畏·與願印을 취하였던 것으로 추측된다. 뒷면은 어깨부분에 약간의 衣文과 結帶가 있고 下部에 이르러 법의자락이 표현되었는데 옷주름 가장자리를 따라 가는 음각선을 새겨 넣었으며 위아래에 광배고리가 있다. 뒷면 아래위로 두개의 광배 고리와 왼쪽으로 쏠리게 층단식으로 흘러내린 옷주름 형식, 양 발목사이를 투각한 점, 옷자락에 가장자리를 선각한 점등에서 법륭사일광삼존불과 동일한 형식의 일광삼존불의 본존이며, 상의 크기로 보아 양 협시를 따로 주물하여 광배와 결합한 삼존별주결합식 일광삼존불의 본존으로 보는 견해가 있다."
국립1-부여-부여,20,0,金銅製風鐸舌,금동제풍탁설,한국-백제,금속-동합금,종교신앙-불교-장엄,"길이 12.3,너비 30",충청남도-부여군-부여읍 동남리 폐사지,, 동남리는 定林寺와 軍守里寺址 사이에 위치한 곳으로 金堂만이 있고 塔이 없는 독특한 남향가람으로 알려져 있다. 이곳에서 발견된 金銅製의 風鐸舌은 外形의 납작한 타원형으로서 상부에는 풍탁 내부에 걸기위한 고리가 달려있다. 木造建物이 추녀 끝에 달려있던 풍탁에서 떨어져 나온 것으로 믿어지며 舌의 크기로 보아 원래의 풍탁 역시 대형이었으리라 추측된다. 이러한 하트형의 風鐸舌은 풍탁 內部가 아니라 口緣 바깥에 걸리는 장식의 하나였다고도 추측된다. 부식이 약간 진행되었으나 보존상태는 양호하다고 할수 있다.
국립1-부여-부여,25,0,靑銅馬形帶鉤,청동마형대구,한국-초기철기,금속-동합금,의-대/구-구,"가로 7.8,세로 6.9,가로 7.6,세로 6.7,가로 7.3,세로 4.5",,," 靑銅製馬形帶鉤로서 3점 모두 완형이며 표면에는 푸른색 녹이 슬어있다. 鑄造品이며, 전체적인 형태는 板狀이고 말모양을 취하고 있는데, 말의 얼굴, 귀, 갈기, 꼬리등이 표현되어 있다. 말의 배부분쪽에는 끝부분이 직각으로 꺾인 막대기 모양의 부분이 형성되어 있는데, 이는 반대쪽의 고리부분과의 결합을 위한 것이다. 뒷면에는 허리띠부분과의 연결을 위한 원형 꼭지가 형성되어 있다. 帶鉤는 허리띠의 앞쪽에서 영끝을 연결하는 고리로서, 초기철기시대(B.C. 300~기원전후)부터 원삼국시대 초기까지 제작된 것으로 보여지며, 馬形帶鉤의 출토예로는 永川 漁隱洞의 음각선으로 馬具를 표현한 것 등이 있다."
국립1-부여-부여,40,0,雙禽端華八陵鏡,청동거울,한국-백제,금속-동합금,주-생활용품-화장구,지름 12.6,,," 銅鏡으로, 앞면에 일부 부식이 일어났으나 상태가 좋다. 출토지 미상으로 전체모양은 八稜形을 띠고 있으며, 뒷면 안쪽에 다시 팔릉형의 테두리선을 돌리고 있으며, 중심부에 圓紐를 부착하고 있다. 또 그 주위에 두개체의 飛鳥文을 시문하고, 조밀하게 당초문을 주위에 돌렸다."
국립1-부여-부여,62,0,마름쇠,마름쇠,한국-백제,금속-철,군사-근력무기-기타,높이 3.6,충청남도-부여군-부여읍 부소산,," 鍛造品으로 보존상태는 양호한 편이다. 양쪽 끝을 뾰족하게 처리한 철막대를구부려 넓은 'V'자형으로 만든 다음 두개를 엇걸어서 부착하였다. 네개의 날카로운 침이 서로 다른 방향으로 나 있기 때문에 어떤 방향으로 던져도 한침이 위를 향하여 서게 된다. 2점 모두 완형이며, 한점은 긴 다리에 지름 0.4cm의 圓孔이 뚫어져 있다."
국립1-부여-부여,64,0,梵鍾,범종,한국-고려,금속-동합금,종교신앙-불교-의식,"높이 34,입지름 25,몸통지름 21",충청남도-금산군-금성면 화림리 월봉사지,," 통형(筒形)의 고려범종으로 종(鐘)의 정상부에는 단뉴형식(單紐形式)의 용뉴(龍紐)와 음통(音筒)이 서로 부착되어 있다. 용뉴의 용은 여의주를 물고 있고, 음통의 테두리에는 연주돌기문(連珠突起文)이 돌려졌다. 종견상연(鐘肩上緣)에는 입상연화문(立狀蓮花文)을 중첩시켜 장식하였는데 파손된 부분이 있고 보수한 흔적도 보인다. 상대(上帶)에는 당초문(唐草文)을, 하대(下帶)에는 연당초문(蓮唐草文)을 각각 시문하였고 같은 간격으로 배치된 유곽(乳廓)의 가장자리도 당초문(唐草文)으로 장식하였다. 그안에는 원형(圓形)받침의 돌출된 9개(3×3)의 유두(乳頭)를 가지고 있다. 그리고 종복(鐘腹)에는 각각 2개씩 연화문(蓮花文)의 당좌(撞座)와 주악비천상(奏樂飛天像)을 교호(交互)로 배치하였는데 조각스타일이 매우 평면적이다. 당좌는 세엽(細葉)의 연화문으로 이루어졌고, 날으는듯한 비천상은 천의자락이 매우 생동감있게 시문되어 있어 많은 정성을 기울여 종을 주조하였음을 알 수 있다. 이종은 앞시대의 전통을 계승하면서도 용뉴가 빈약해지고, 용의 몸통이 구부러지는등 장식적인 면이 강조되는 등 고려시대의 양식을 그대로 반영하고 있다."
국립1-부여-부여,69,0,滑石製立佛,활석제불상,한국-백제,석-기타,종교신앙-불교-예배,현재높이 14,충청남도-부여군-부여읍 구아리,, 충남 부여군 부여읍 구아리에서 출토된 蠟石製菩薩立像으로 佛身部의 대부분이 파손되어 天衣자락의 先端을 포함한 다리부분만이 남아있다. 두발 및 대좌부분도 파손되었다. 비록 殘片이나 完形일때 30cm정도의 비교적 규모를 지닌 상이었을 것으로 보인다. 像의 몸체 중앙부가 두꺼운 반면 양끝으로 갈수록 얇아지는데 천의 의 주름은 편평하면서도 각이지게 조각되어 전체적으로 평면성이 강조된 형태이다. 무릎 부근에서 'X'字形으로 교차하는 天衣 및 몸 양옆에서 좌우대칭을 이루며 지느러미 형태로 뻗치는 주름등은 삼국시대 전형적인 보살상형식을 보여주는 古式의 예로 주목된다.
