작품명(한글),작품명(영문),크기,재질,작가(한글),작가(영문),국적,제작년월,설치장소,작품출처,작품이미지
나는 안데스의 여인들,Andean woman in flight,4.3X2.8X3.8 (m),청동,"누네스 델 프라도, 마리나",Nunes Del Prado-Marina,볼리비아,1988-09-30,수영장 인근,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0158.jpg
칼 조각,Knife Sculpture,3.2X3.2X4.0 (m),"나무, 철, 돌, 밧줄","위커, 귄터",Uecker Gunther,독일,1988-04-30,88호수 옆,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0148.jpg
무한에 이르기까지의 여정,Itinerary to the void,6.0X0.6X7.1 (m),"스테인레스 스틸, 철","다나까, 신따로",Tanaka-Shintaroh,일본,1988-09-30,88호수 주변,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815335859554_b.jpg
올림픽을 위한 조각,Sculpture for Olympics,5.2X4.4X6.2 (m),철,"하젠브로이크, 에른스트",Hazenbroek-Ernest,네덜란드,1988-09-30,수영장 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0163.jpg
정상,To the top,3.2X5.0X9.0 (m),화강암,"얀코비치, 요젭",Jankovic-Josef,체코슬로바키아,1987-09-30,88호수 옆,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0169.jpg
무제,Untitled,0.7X0.8X2.2 (m),대리석,"바스부스, 조셉",Basbous-Joseph,레바논,1988-09-30,88호수 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004010815252611791_b.jpg
무한대의 다리,Bridge of eternity,7.5X6.0X12.0 (m),코르텐 스틸,"뒤봉, 조르쥬",Du Bon-Jorge,멕시코,1988-04-30,북2문 앞,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0166.jpg
무제,Untitled,4.8X4.8X0.2 (m),코르텐 스틸,"레센드, 호세",Resende-Jose,브라질,1988-09-30,88호수 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0161.jpg
축적 87-07,Accumulation 87-07,11.6X15.0X7.0 (m),화강암,박석원,"Park, Suk-won",대한민국,1987-09-30,88호수 옆,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0159.jpg
호수의 부인,Lady at the lake,0.6X0.6X1.5 (m),구리,라인후드,Reinhiud,벨기에,1988-09-30,88호수,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0183.jpg
날개짓,Wing's breath,3.0X3.0X3.5 (m) 17개,스테인레스 스틸,"싱구, 스스무",Shingu-Susumu,일본,1988-04-30,88호수,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0162.jpg
구성,Composition,2.0X4.5X8.0 (m),화강암,"다미아노프, 크룸",Damianov-Kroum,불가리아,1987-09-30,88호수 옆,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0160.jpg
도약,The jump,3.0X1.0X1.7 (m),스테인레스 스틸,"알파로, 안드레우",Alfaro-Andreu,스페인,1988-09-30,88호수 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0157.jpg
원류의 분절,The articulation of the origin,10.0X13.0X3.0 (m),"철, 대리석","말레르, 레오폴도",Maler-Leopoldo,아르헨티나,1988-09-30,피크닉장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0165.jpg
은신처,Refuge,25.0X24.0X6.8 (m),"콘크리트, 화강암, 벽돌","시몬즈, 찰스",Simonds-Charles,미국,1988-09-30,피크닉장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0168.jpg
신호기,Semaphore,1.1X1.1X5.7 (m),철,"엥그룬드, 라르스",Englund-Lars,스웨덴,1988-09-30,피크닉장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0164.jpg
전쟁의 보물,Treasure of war,1.9X2.0X0.03 (m),철,사르키스,Sarkis,터키,1988-09-30,피크닉장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0175.jpg
무제,Untitled,20.0X10.0X2.4 (m),화강암,박충흠,"Park, Choong-heum",대한민국,1988-09-30,피크닉장,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0174.jpg
