분류,지역,작품명,작가명,재질,규격(가로),규격(세로),규격(높이),설치일자,가격(원),건축물주소,연면적(㎡)
조각,전북/김제시,사랑-2014,김**,"황등석, 대리석, 장흥석",280,130,190,2016-08-22,61000000,전북 김제시 검산동 1080-1 ,51892.7
조각,전북/완주군,이야기-2015,김**,"황등석, 스텔레스스틸, 대리석 외",450,180,296,2016-08-24,122954000,전북 완주군 이서면 갈산리 663-1 ,20219.8
조각,전북/남원시,가족-愛,김**,"청동, 화강석, 유화가리",82,205,250,2016-08-02,63000000,"전북 남원시 낙현길 5 (월락동, 양우내안애아파트) ",40247.65
조각,전북/전주시,풍경이 있는 집,이**,"황등석, 고흥석, 스테인레스스틸",800,600,470,2016-06-02,115361000,전북 전주시 덕진구 장동 1064,91545.18
조각,전북/전주시,해피데이,소**,"화강석, 고흥석, 청동",220,220,210,2016-07-15,61000000,전북 전주시 덕진구 백제대로 721,46770.1
조각,전북/전주시,마법,박**,"화강석, 고흥석, 청동",200,90,180,2016-06-20,37500000,전북 전주시 덕진구 고랑동 715,29746.27
기타,전북/전주시,책과 사람,엄**,"황등석, 상주석, 브론즈 등",240,120,300,2016-01-14,167100000,전북 전주시 완산구 효자동 2가 1157-4,76541.92
조각,전북/군산시,동행,황**,하강석,130,90,250,2016-03-18,40000000,전북 군산시 대명동 385-1,145259.29
조각,전북/군산시,비상,조**,"브론즈, 화강석",400,350,450,2016-03-18,162500000,전북 군산시 대명동 385-1,145259.29
조각,전북/전주시,즐거운 아침,박**,"스테인레스스틸, 브론즈, 화강석",820,500,500,2016-03-18,141100000,전북 전주시 덕진구 출판로 69,106849.28
조각,전북/전주시,이야기-2014,김**,"황등석, 스테인레스스틸,대리석, 장흥석",700,400,270,2015-12-17,103000000,전북 전주시 덕진구 장동 혁신동시 c-5 ,78955.18
조각,전북/전주시,지혜의 나무,김**,"화강석, 브론즈",140,135,240,2015-12-17,38000000,전북 전주시 덕진구 인후동2가 4-58 ,22417.5
조각,전북/김제시,사랑고백,이**,"화강석, 적동, 스테인레스스틸",220,130,310,2015-12-17,86200000,전북 김제시 하동 387-26,63111.02
조각,전북/완주군,기다림-2014,김**,"황등석, 대리석",380,200,260,2015-12-17,68320000,전북 완주군 봉동읍 낙평리 239 ,43151.36
조각,전북/전주시,바람쉬는 곳,박**,"황등석, 마천석",250,100,200,2015-12-10,49200000,전북 전주시 덕진구 반월동 235-2 ,29743.57
조각,전북/전주시,삶의숲,권**,화강석,160,105,210,2015-10-02,32000000,전북 전주시 덕진구 송천동2가 505 ,18904.55
조각,전북/군산시,오후여섯시반,김**,"화강석, 스테인레스스틸",500,200,220,2015-11-04,66500000,전북 군산시 지곡동 226 ,52977.67
조각,전북/전주시,하모니,소**,"화강석, 청동",800,400,370,2015-10-02,125000000,전북 전주시 완산구 효자동3가 1526-2 ,88579.41
조각,전북/전주시,평화의 소리,국**,"화강석, 스테인레스스틸",215,120,270,2015-08-28,62000000,전북 전주시 덕진구 동산동 671-4 ,44451.53
조각,전북/군산시,온고지신-용오름,강**,"스테인레스스틸, 우레탄도장",430,390,500,2015-08-19,80450000,전북 군산시 옥산면 당북리 917,65854.69
조각,전북/군산시,생명의 하모니,이**,"화강석, 상주석, 스테인레스스틸",250,170,315,2015-07-20,66300000,전북 군산시 경암동 504-4 ,39862.4
